error,iteration
28.0,0
25.333333333333332,1
28.0,2
28.0,3
28.0,4
27.666666666666668,5
27.666666666666668,6
18.333333333333332,7
18.333333333333332,8
18.333333333333332,9
18.333333333333332,10
18.333333333333332,11
25.333333333333332,12
27.333333333333332,13
24.0,14
24.0,15
25.333333333333332,16
25.333333333333332,17
26.0,18
13.666666666666666,19
25.333333333333332,20
22.0,21
22.0,22
12.666666666666666,23
12.666666666666666,24
12.666666666666666,25
25.333333333333332,26
25.333333333333332,27
24.0,28
24.0,29
13.666666666666666,30
25.333333333333332,31
23.666666666666668,32
10.333333333333334,33
10.333333333333334,34
25.333333333333332,35
19.666666666666668,36
19.666666666666668,37
19.666666666666668,38
19.666666666666668,39
19.666666666666668,40
19.666666666666668,41
19.666666666666668,42
15.0,43
15.0,44
25.333333333333332,45
25.333333333333332,46
20.666666666666668,47
7.333333333333333,48
7.333333333333333,49
7.333333333333333,50
7.333333333333333,51
7.333333333333333,52
7.333333333333333,53
7.333333333333333,54
7.333333333333333,55
7.333333333333333,56
25.333333333333332,57
25.333333333333332,58
25.333333333333332,59
25.333333333333332,60
17.333333333333332,61
17.333333333333332,62
15.0,63
22.666666666666668,64
22.666666666666668,65
10.0,66
10.0,67
10.0,68
10.0,69
20.666666666666668,70
20.666666666666668,71
20.666666666666668,72
23.0,73
23.0,74
12.0,75
12.0,76
12.0,77
12.0,78
12.0,79
12.0,80
12.0,81
12.0,82
12.0,83
12.0,84
24.333333333333332,85
24.333333333333332,86
20.0,87
20.0,88
20.0,89
20.0,90
7.666666666666667,91
7.666666666666667,92
7.666666666666667,93
7.666666666666667,94
7.666666666666667,95
7.666666666666667,96
7.666666666666667,97
7.666666666666667,98
7.666666666666667,99
7.666666666666667,100
7.666666666666667,101
25.333333333333332,102
25.333333333333332,103
13.333333333333334,104
13.333333333333334,105
13.333333333333334,106
13.333333333333334,107
13.333333333333334,108
13.333333333333334,109
13.333333333333334,110
13.333333333333334,111
13.333333333333334,112
13.333333333333334,113
13.333333333333334,114
13.333333333333334,115
13.333333333333334,116
13.333333333333334,117
25.333333333333332,118
25.333333333333332,119
7.666666666666667,120
7.666666666666667,121
7.666666666666667,122
7.666666666666667,123
25.333333333333332,124
25.333333333333332,125
11.666666666666666,126
11.666666666666666,127
11.666666666666666,128
11.666666666666666,129
11.666666666666666,130
11.666666666666666,131
11.666666666666666,132
11.666666666666666,133
8.0,134
8.0,135
8.0,136
8.0,137
8.0,138
8.0,139
8.0,140
8.0,141
8.0,142
8.0,143
8.0,144
8.0,145
25.333333333333332,146
25.333333333333332,147
14.0,148
14.0,149
0.6666666666666666,150
0.6666666666666666,151
0.6666666666666666,152
0.6666666666666666,153
0.6666666666666666,154
0.6666666666666666,155
